provider_code,name,status
DHA-F-0046683,AARUNAS BEAUTY CARE CENTER,ACTIVE
DHA-F-0047204,AB BUILDING CINTRACTING,ACTIVE
DHA-F-0045513,ABBARA POLYCLINIC,ACTIVE
DHA-F-0047372,ABCON INTERNATIONAL,ACTIVE
DHA-F-0047873,ABDALLA ABDELKARIM HUSSAIN ALMAZAM,ACTIVE
DHA-F-0046949,ABDELHAMEED MOHAMED ABDALLA,ACTIVE
DHA-F-0047594,ABDULAZIZ ABDULRAHIM MOHAMMAD SHARIF,ACTIVE
DHA-F-0046797,ABDULAZIZ KHALIFA BIN HUSSAIN HOME NURSING,ACTIVE
DHA-F-0047792,ABDULBAQI HASAN MOHAMED,ACTIVE
DHA-F-0000125,ABDULHADI EYE CENTER (BRANCH OF ABDULHADI FOR INV.& MANAGEMENT OF MEDICAL ENT.) LLC,ACTIVE
DHA-F-0047145,ABDULLA HUMAID AHMAD BINHAZAIM,ACTIVE
DHA-F-0047678,ABDULLA NASSER ABDULLA HUSSAIN LOTAH,ACTIVE
DHA-F-0047846,ABDULRAHIM ABDULLA ALKHAJA,ACTIVE
DHA-F-0047421,ABDULRAHIM AHMAD A RAHIM MUSTAFAWI,ACTIVE
DHA-F-0002584,ABEER AL NOOR PHARMACY LLC,ACTIVE
DHA-F-6633537,ABEER AL NOOR PHARMACY LLC  BRANCH,ACTIVE
DHA-F-0002226,ABEER AL NOOR POLYCLINIC LLC BRANCH,ACTIVE
DHA-F-0002088,ABEER ALNOOR POLYCLINIC LL BRANCH,ACTIVE
DHA-F-4927956,ABEER ALNOOR POLYCLINIC LLC Pharmacy-BRANCH,ACTIVE
DHA-F-0045836,ABEER PHARMACY,ACTIVE
DHA-F-0046429,ABELA& CO. TRANING & CONSULTATION,ACTIVE
DHA-F-0045738,ABI AL FIDAA MEDICAL CO. L.L.C,ACTIVE
DHA-F-0047920,ABNA AL AHLI PHARMACY,ACTIVE
DHA-F-0045874,ABR AL ADWIYA CO,ACTIVE
DHA-F-0002126,ABRIS MEDICAL CENTRE LLC,ACTIVE
DHA-F-0002032,ABRIS PHARMACY LLC,ACTIVE
DHA-F-9685821,ABRO CLINIC L.L.C,ACTIVE
DHA-F-7478843,ABSOLUTE WELLNESS MEDICAL CENTRE,ACTIVE
DHA-F-5308110,ABSOLUTE WILLNESS MEDICAL CENTRE,ACTIVE
DHA-F-0047824,ABU DHABI SPINE CENTRE L.L.C (WOORIDUL SPIN CENTER),ACTIVE
DHA-F-0000AHC,ABU HAIL CLINIC,ACTIVE
DHA-F-0045837,ABU HAIL PHARMACY,ACTIVE
DHA-F-8976864,ABUHAMMOUR GASTROENTEROLOGY SAME DAY SURGERY CENTER FZ LLC,ACTIVE
DHA-F-7279253,ABWAB ALKHAIR PHARMACY,ACTIVE
DHA-F-5203982,ACACIA COMMUNITY PHARMACY,ACTIVE
DHA-F-0000850,ACACIA MEDICAL CENTRE,ACTIVE
DHA-F-0001027,ACCESS CLINIC ALQOUZ BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0000786,ACCESS CLINIC BURDUBAI BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0002573,ACCESS CLINIC DIC BR DM HEALTHCARE LLC,ACTIVE
DHA-F-0001286,ACCESS CLINIC DIP 2 BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0047552,ACCESS CLINIC DIP BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0000553,ACCESS CLINIC FREEZONE BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0000738,ACCESS CLINIC INTERNATIONAL CITY BR OF DH HEALTHCA,ACTIVE
DHA-F-0001089,ACCESS CLINIC PERSIA CLUSTER BR OF DM HEALTHCARE,ACTIVE
DHA-F-0001136,ACCESS CLINIC SONAPUR 2 BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0000491,ACCESS CLINIC SONAPUR BR OF DM HEALTHCARE LLC,ACTIVE
DHA-F-0001029,ACCESS PHARMACY 2 BR OF ASTER PHARMACIES GROUP LLC,ACTIVE
DHA-F-0001276,ACCESS PHARMACY 3 BR OF ASTER PHARMACIES GROUP LLC,ACTIVE
DHA-F-0000994,ACCESS PHARMACY BR OF ASTER PHARMACIES GROUP LLC,ACTIVE
DHA-F-0045618,ACHIRA CLINICS,ACTIVE
DHA-F-0047229,ACICO INTERNATIONAL CONTRACTING(L.L.C),ACTIVE
DHA-F-0046853,ACTIVE PLUS,ACTIVE
DHA-F-0001324,ACU HOUSE L.L.C,ACTIVE
DHA-F-0046112,ADAB IRANIAN PVT. SCHOOL,ACTIVE
DHA-F-0046658,ADAM MEDICAL CENTRE L.L.C,ACTIVE
DHA-F-0000221,ADAM VITAL,ACTIVE
DHA-F-0002370,ADAM VITAL ORTUS HOSPITAL LLC,ACTIVE
DHA-F-0002454,ADAM VITAL ORTUS HOSPITAL PHARMACY,ACTIVE
DHA-F-3632768,ADAMS PHARMACY LLC,ACTIVE
DHA-F-8861732 ,ADAMS PHARMACY LLC (BRANCH),ACTIVE
DHA-F-3594829,ADAPTIVE CHOICE FZ LLC ,ACTIVE
DHA-F-8542512,ADRIA MEDICAL CENTER LLC,ACTIVE
DHA-F-0046750,ADVANCE BIOTECHNOLOGY CENTER,ACTIVE
DHA-F-3648598,ADVANCE CARE PROSTHETICS AND ORTHOTICS CENTER,ACTIVE
DHA-F-0047307,ADVANCE HEARING AND BALANCE CENTER,ACTIVE
DHA-F-8554808,ADVANCED BEHAVIORAL LEARNING ENVIRONMENT FZ-LLC,ACTIVE
DHA-F-0047388,ADVANCED CARE MEDICAL CENTER,ACTIVE
DHA-F-5626518,ADVANCED CARE MEDICAL CENTER - (BRANCH),ACTIVE
DHA-F-0002329,ADVANCED CARE MEDICAL CENTER - BRANCH,ACTIVE
DHA-F-0002260,ADVANCED CARE MEDICAL CENTER BRANCH,ACTIVE
DHA-F-0000564,ADVANCED CARE MEDICAL CENTER BRANCH,ACTIVE
DHA-F-0115116,ADVANCED CARE MEDICAL CENTER L.L.C (BRANCH),ACTIVE
DHA-F-3635685,ADVANCED CARE MEDICAL CENTER L.L.C BRANCH ALQUSAIS,ACTIVE
DHA-F-5058752,ADVANCED CARE MEDICAL CENTER LLC BRANCH DIP,ACTIVE
DHA-F-0002067,ADVANCED CARE ONCOLOGY CENTER LLC,ACTIVE
DHA-F-0047413,ADVANCED CARE PHARMACY (L.L.C),ACTIVE
DHA-F-0000348,ADVANCED CARE PLUS PHARMACY LLC ,ACTIVE
DHA-F-0046815,ADVANCED DIAGNOSTIC CENTER,ACTIVE
DHA-F-0001874,ADVANCED DIAGNOSTIC CENTER LLC,ACTIVE
DHA-F-0000640,ADVANCED ORTHOSPINE HEALTH CENTER,ACTIVE
DHA-F-0047275,ADVANCED PLASTIC SURGERY CENTER,ACTIVE
DHA-F-0047079,ADVANCED RADIOLOGY CENTRE AND CLINICAL LABORATORY,ACTIVE
DHA-F-0000353,ADVANCED RADIOLOGY CENTRE CLINICAL LABORATORY BR,ACTIVE
DHA-F-0000321,ADVANCED SPECIALIST MEDICAL CENTER,ACTIVE
DHA-F-0046794,ADVANCED SPECIALTY CLINICS,ACTIVE
DHA-F-0000554,ADVANCED STAR PHARMACY LLC,ACTIVE
DHA-F-0046555,AESTHETIC CARE CENTER,ACTIVE
DHA-F-0046578,AESTHETIC CARE CENTER - BRANCH,ACTIVE
DHA-F-0046447,AESTHETICA CLINIC,ACTIVE
DHA-F-0046959,AESTHETICA CLINIC (BRANCH - HUMAR AIN CENTER),ACTIVE
DHA-F-0000186,AESTHETICON JLT,ACTIVE
DHA-F-0047639,AESTHETICS INTERNATIONAL PLASTIC SURGERY CLINIC,ACTIVE
DHA-F-0001212,AFAK MEDICAL CENTER,ACTIVE
DHA-F-4171456,AFIYA HOME HEALTH CARE,ACTIVE
DHA-F-9839500,AFRIDI MEDICAL CENTER L.L.C,ACTIVE
DHA-F-7048200,AFRIDI PHARMACY LLC,ACTIVE
DHA-F-8391688,AGE MEDICAL CENTER L.L.C,ACTIVE
DHA-F-3650734,AGIOMIX FZ LLC,ACTIVE
DHA-F-0083931,AHB HEALTH CARE PHARMACY L.L.C,ACTIVE
DHA-F-0000674,AHD MEDICAL CENTER,ACTIVE
DHA-F-0045946,AHLAM PHARMACY,ACTIVE
DHA-F-7259326,AHLAN CARE PHARMACY,ACTIVE
DHA-F-0000038,AHMAD HASSAN MOHD YOUSUF ALJABER,ACTIVE
DHA-F-0000065,AHMAD MURTADA YAQOOB BURHAN ALHASHMI,ACTIVE
DHA-F-0047829,AHMED A. HUSSAIN,ACTIVE
DHA-F-0047659,AHMED KHALFAN KHARBASH,ACTIVE
DHA-F-0046104,AHUD PVT. SCHOOL,ACTIVE
DHA-F-0000972,AIG MEDICAL CLINICS LLC,ACTIVE
DHA-F-5145430,AIN RAMADI PHYSIOTHERAPY AND REHABILITATION MEDICAL CENTER L.L.C,ACTIVE
DHA-F-0001683,AIRIS IMAGING AND DIAGNOSTIC CENTRE LLC,ACTIVE
DHA-F-000APMC,AIRPORT MEDICAL CENTER,ACTIVE
DHA-F-0046754,AIRPORT PHARMACY,ACTIVE
DHA-F-1130475,AIWA PHARMACY,ACTIVE
DHA-F-0047726,AJ PHYSIOTHERAPY CENTER,ACTIVE
DHA-F-0046337,AJMAL PHARMACY,ACTIVE
DHA-F-0000655,AKEELA DENTAL CLINIC,ACTIVE
DHA-F-0046482,AL ABBAR LAB FOR RES & MED ANALYSIS,ACTIVE
DHA-F-0045430,AL ABEDIN DENTAL TECHNICIAN,ACTIVE
DHA-F-0047641,AL ABEER POLY CLINIC,ACTIVE
DHA-F-0045473,AL ABRAH CLINIC,ACTIVE
DHA-F-0046009,AL ADASAT CENTER - AL JUMEIRAH BRANCH,ACTIVE
DHA-F-0048038,AL AFDHAL PHARMACY 1,ACTIVE
DHA-F-0045476,AL AFIA MEDICAL CLINIC,ACTIVE
DHA-F-0045839,AL AFIA PHARMACY,ACTIVE
DHA-F-0045916,AL AHALI PHARMACY,ACTIVE
DHA-F-0046364,AL AHALIA MEDICAL CENTER,ACTIVE
DHA-F-0046384,AL AHALIA PHARMACY,ACTIVE
DHA-F-0047362,AL AHLI CLUB,ACTIVE
DHA-F-0047345,AL AHLI DRIVING CENTER,ACTIVE
DHA-F-0047619,AL AHMADIAH AKTOR (LLC),ACTIVE
DHA-F-0045890,AL AHRAM PHARMACY,ACTIVE
DHA-F-0045611,AL ALIAA POLYCLINIC,ACTIVE
DHA-F-0001838,AL ALIAA POLYCLINIC LLC BRANCH,ACTIVE
DHA-F-0046329,AL AMAL OPTICAL,ACTIVE
DHA-F-0046062,AL AMAL OPTICALS (L.L.C) BR 2,ACTIVE
DHA-F-0046925,AL AMAL OPTICALS (L.L.C)- BRANCH 1,ACTIVE
DHA-F-0045833,AL AMAL PHARMACY,ACTIVE
DHA-F-0045654,AL AMAL POLYCLINIC,ACTIVE
DHA-F-0045683,AL AMAN DENTAL LABORATORY,ACTIVE
DHA-F-0046856,AL AMAN MEDICAL CENTER,ACTIVE
DHA-F-0045745,AL AMANA PHARMACY,ACTIVE
DHA-F-0045939,AL AMEEN PHARMACY,ACTIVE
DHA-F-0001969,AL AMEEN PHARMACY LLC BRANCH,ACTIVE
DHA-F-0046098,AL AMEEN PVT. SCHOOL,ACTIVE
DHA-F-4730554,AL AMIN OPTICAL LLC DUBAI BRANCH,ACTIVE
DHA-F-0040034,AL AMIN OPTICALS LLC,ACTIVE
DHA-F-6055736,AL AMIN OPTICALS LLC - DUBAI BRANCH,ACTIVE
DHA-F-3422089,AL AMIN OPTICALS LLC DUBAI,ACTIVE
DHA-F-9954258,AL AMIN OPTICALS LLC DUBAI BRANCH,ACTIVE
DHA-F-7454744,AL AMIN OPTICALS LLC DUBAI BRANCH,ACTIVE
DHA-F-4311867,AL AMIN OPTICALS LLC DUBAI BRANCH,ACTIVE
DHA-F-0047933,AL AMIN UNITED DRUG STORE,ACTIVE
DHA-F-0045834,AL ANBER PHARMACY,ACTIVE
DHA-F-0046115,AL ANWAR PVT. SCHOOL,ACTIVE
DHA-F-0046884,AL ARIF CONTRACTING CO (L.L.C) CLINIC,ACTIVE
DHA-F-0046139,AL ARQAM PVT. SCHOOL,ACTIVE
DHA-F-0045744,AL ASHEERA PHARMACY,ACTIVE
DHA-F-0045979,AL ASRIYA OPTICAL EST,ACTIVE
DHA-F-0045951,AL ASRIYAH PHARMACY,ACTIVE
DHA-F-0000054,AL ATTIYAH PSYCHIATRY CLINIC,ACTIVE
DHA-F-0045600,AL AWEER MEDICAL CLINIC,ACTIVE
DHA-F-0047435,AL AWEER PRIME CORP MEDICAL CENTER,ACTIVE
DHA-F-0046629,AL AWEER SOCIETY PHARMACY (BR OF AL SHAFAR GROUP),ACTIVE
DHA-F-0048021,AL AZHAR AL JADEEDA PHARMACY,ACTIVE
DHA-F-0047440,AL AZHAR CLINIC,ACTIVE
DHA-F-0048014,AL AZHAR CLINIC -BRANCH,ACTIVE
DHA-F-0000444,AL AZHAR CLINIC- BRANCH 2,ACTIVE
DHA-F-0002443,AL AZHAR CLINIC BRANCH 3,ACTIVE
DHA-F-9579987,AL AZHAR CLINIC LLC 4,ACTIVE
DHA-F-0047441,AL AZHAR PHARMACY,ACTIVE
DHA-F-00000SC,AL BADAE HEALTH CENTRE,ACTIVE
DHA-F-0000977,AL BADIYA DENTAL CLINIC,ACTIVE
DHA-F-0046331,AL BAIRONI POLYCLINIC,ACTIVE
DHA-F-0045959,AL BAIROONI PHARMACY,ACTIVE
DHA-F-0045832,AL BAKER PHARMACY,ACTIVE
DHA-F-0047236,AL BAKR HOME NURSERY,ACTIVE
DHA-F-0045935,AL BANNAI PHARMA,ACTIVE
BARAHA001,AL BARAHA HOSPITAL,ACTIVE
DHA-F-0045858,AL BARAHA PHARMACY,ACTIVE
DHA-F-0045869,AL BARAKA PHARMACY,ACTIVE
DHA-F-0047450,AL BARAKAT INTERNATIONAL UNITED GROUP,ACTIVE
DHA-F-0001077,AL BARSHA ALNOOR POLYCLINIC LLC,ACTIVE
DHA-F-2553296,AL BARSHA ALNOOR POLYCLINIC PHARMACY,ACTIVE
DHA-F-0046649,AL BARSHA CLINIC,ACTIVE
DHA-F-0047922,AL BARSHA THERAPY CENTER,ACTIVE
DHA-F-0047668,AL BASATEEN PRIVATE NURSERY -HATTA BRANCH,ACTIVE
DHA-F-0045737,AL BASHAIR PHARMACY,ACTIVE
DHA-F-0047108,AL BASIM BUILDING CONTRACTING,ACTIVE
DHA-F-0045508,AL BAYAN MEDICAL CENTER,ACTIVE
DHA-F-0046248,AL BAYAN OPTICAL,ACTIVE
DHA-F-0045978,AL BAYROONI OPTICS,ACTIVE
DHA-F-0045835,AL BEITAWI PHARMACY,ACTIVE
DHA-F-0047881,AL BERWAZ BEAUTY CENTRE,ACTIVE
DHA-F-0047183,AL BERWAZ BEAUTY CENTRE (BR),ACTIVE
DHA-F-0047737,AL BIRAA ARTHRITIS & BONE CLINIC,ACTIVE
DHA-F-4276188,AL BIRUNI HOME HEALTH CARE,ACTIVE
DHA-F-7782729,AL BOOM MARINE LLC,ACTIVE
DHA-F-0046395,AL BORJ LABORATORY,ACTIVE
DHA-F-0045515,AL BORJ MEDICAL CENTER,ACTIVE
DHA-F-3759411,AL BURAQ PHARMACY LLC,ACTIVE
DHA-F-1928141,AL BURAQ PHARMACY LLC BRANCH,ACTIVE
DHA-F-0046757,AL BURJ NEW PHARMACY,ACTIVE
DHA-F-0045831,AL BUSTAN PHARMACY,ACTIVE
DHA-F-0046316,AL BUSTAN ROTANA HOTEL,ACTIVE
DHA-F-0045866,AL CORNICHE PHARMACY,ACTIVE
DHA-F-0002436,AL DALEEL PHYSIOTHERAPY AND HIJJAMA CENTER,ACTIVE
DHA-F-0045616,AL DANA MEDICAL POLYCLINIC,ACTIVE
DHA-F-0000419,AL DAS MEDICAL CLINIC,ACTIVE
DHA-F-6456618,AL DAS MEDICAL CLINIC (BRANCH),ACTIVE
DHA-F-2116734,AL DAS MEDICAL CLINIC BRANCH,ACTIVE
DHA-F-0046828,AL DAYA POLYCLINIC,ACTIVE
DHA-F-0046679,AL DEHYAFA SPECIALIZED ORTHODONTIC & DENTAL CLINIC,ACTIVE
DHA-F-0002133,AL DEHYAFA SPECIALIZED ORTHODONTICS AND DENTAL CLINIC BRANCH,ACTIVE
DHA-F-0047874,AL DEQQA PHARMACY,ACTIVE
DHA-F-0045642,AL DHAFRA MEDICAL CENTER,ACTIVE
DHA-F-0046938,AL DIYAFA MEDICAL DIAGNOSTIC CENTER,ACTIVE
DHA-F-0045516,AL DIYAFA MODERN MEDICAL CENTER,ACTIVE
DHA-F-0046121,AL DIYAFA NURSERY,ACTIVE
DHA-F-0045838,AL DIYAFA PHARMACY,ACTIVE
DHA-F-0046113,AL DIYAFAH HIGH SCHOOL,ACTIVE
DHA-F-0000672,AL EBTISAMA AL SAHERA DENTAL CLINIC L L C,ACTIVE
DHA-F-0046358,AL EHSAN PHARMACY,ACTIVE
DHA-F-0001015,AL ENAYA AL FAIQA PHARMACY LLC,ACTIVE
DHA-F-0047904,AL ETIHAD DIAGNOSTIC CENTER,ACTIVE
DHA-F-0045405,AL FAHIM CLINIC,ACTIVE
DHA-F-0045417,AL FAHIM MEDICAL CENTER,ACTIVE
DHA-F-0045953,AL FAISAL PHARMACY,ACTIVE
DHA-F-0047475,AL FAJER INTERNATIONAL MEDICAL EMERGENCY SERVICES(L.L.C),ACTIVE
DHA-F-0045954,AL FAJER PHARMACY,ACTIVE
DHA-F-0045583,AL FALAH MEDICAL CLINIC,ACTIVE
DHA-F-0046205,AL FALAH OPTICAL,ACTIVE
DHA-F-0046397,AL FALAH OPTICALS - AL LULU CENTER,ACTIVE
DHA-F-8040487,AL FALAH OPTICS L.L.C (BRANCH),ACTIVE
DHA-F-0002540,AL FALAH OPTICS LLC,ACTIVE
DHA-F-0045940,AL FALAH PHARMACY,ACTIVE
DHA-F-0046119,AL FALAH PVT. MODERN SCHOOL,ACTIVE
DHA-F-0045913,AL FALASI PHARMACY,ACTIVE
DHA-F-0045937,AL FANAR PHARMACY,ACTIVE
DHA-F-0000111,AL FARAH PHARMACY LLC,ACTIVE
DHA-F-0045841,AL FARAHIDI PHARMACY,ACTIVE
DHA-F-0046485,AL FARES PHARMACY,ACTIVE
DHA-F-0046120,AL FAROOQ PAKISTANI ISLAMIC SCHOOL,ACTIVE
DHA-F-0045640,AL FATHIMA MEDICAL CENTER,ACTIVE
DHA-F-0047784,AL FATHIMA MEDICAL CENTER (BR) ALMUHAISNAH,ACTIVE
DHA-F-0047785,AL FATHIMA MEDICAL CENTER (BR) DIP,ACTIVE
DHA-F-0045840,AL FEHAIDI PHARMACY,ACTIVE
DHA-F-0046812,AL FIDA MEDICAL CENTRE,ACTIVE
DHA-F-8324717,AL FIDA OPTICALS DWC LLC,ACTIVE
DHA-F-0047597,AL FIRDOS PHARMACY,ACTIVE
DHA-F-0396749,AL FUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC -COMPANY CLINIC,ACTIVE
DHA-F-5159856,AL FUTTAIM REAL ESTATE LLC - COMPANY CLINIC,ACTIVE
DHA-F-0046101,AL FUTTAIM TARMAC CO.,ACTIVE
DHA-F-0047840,AL GARHOOD PRIVATE HOSPITAL L.LC,ACTIVE
DHA-F-0000548,AL GARHOUD HOSPITAL PHARMACY,ACTIVE
DHA-F-0045873,AL GARHOUD PHARMACY,ACTIVE
DHA-F-0002076,AL GARHOUD PRIVATE HOSPITAL CLINIC SHOROOQ,ACTIVE
DHA-F-0047757,AL GHAZAL CENTRE PHARMACY,ACTIVE
DHA-F-0000585,AL GHUBAIBA PHARMACY ,ACTIVE
DHA-F-0045843,AL GHUSAIS PHARMACY,ACTIVE
DHA-F-3380588,AL HABAB GENERAL CLINIC,ACTIVE
DHA-F-0047220,AL HABTOOR ENGINEERING,ACTIVE
DHA-F-0046117,AL HADI PVT. SCHOOL,ACTIVE
DHA-F-0045966,AL HAKEEM PHARMACY,ACTIVE
DHA-F-0045844,AL HAMRA PHARMACY,ACTIVE
DHA-F-0047908,AL HAMRIYA COMMUNITY PHARMACY,ACTIVE
DHA-F-0046737,AL HAMRIYA OPTICS,ACTIVE
DHA-F-0045921,AL HAMRIYAH PHARMACY,ACTIVE
DHA-F-2805626,AL HANA MEDICAL CENTER LLC,ACTIVE
DHA-F-1246522,AL HANA MODERN MEDICAL CENTER L.L.C,ACTIVE
DHA-F-0046322,AL HANAN MEDICAL CLINIC,ACTIVE
DHA-F-2677823,AL HANAN PHARMACY L.L.C,ACTIVE
DHA-F-0046763,AL HASNA SALON,ACTIVE
DHA-F-0047762,AL HASSAN ENGINEERING COMPANY DUBAI(L.L.C),ACTIVE
DHA-F-0045847,AL HAWAI PHARMACY,ACTIVE
DHA-F-0046446,AL HAWI DRUG & MEDICAL EQUIPMENT,ACTIVE
DHA-F-0045768,AL HAWI PHARMACY,ACTIVE
DHA-F-0001598,AL HAYAT CENTER HOME NURSING,ACTIVE
DHA-F-0045850,AL HAYAT PHARMACY,ACTIVE
DHA-F-0000049,AL HAYAT& AL AMAL MEDICAL CENTER,ACTIVE
DHA-F-0045786,AL HERMEL PHARMACY,ACTIVE
DHA-F-0046114,AL HESEN PRIVATE SCHOOL,ACTIVE
DHA-F-0045845,AL HIKMA PHARMACY,ACTIVE
DHA-F-0045493,AL HIKMAH CLINIC,ACTIVE
DHA-F-8351631,AL HILAL HOURI MEDICAL EQUIPMENT LLC- DUBAI BRANCH,ACTIVE
DHA-F-0045478,AL HILAL MEDICAL CLINIC,ACTIVE
DHA-F-0045863,AL HILAL PHARMACY,ACTIVE
DHA-F-0047677,AL HILAL PRIVATE NURSING & MEDICAL SERVICES,ACTIVE
DHA-F-0047910,AL HIREY MEDICAL SERVICES,ACTIVE
DHA-F-0045846,AL HOKAMAA PHARMACY,ACTIVE
DHA-F-0046095,AL HUDA CLINIC,ACTIVE
DHA-F-0045945,AL HUNAIDI MEDICINES,ACTIVE
DHA-F-0046536,AL IBTESAMA BODY FITNISS CLUB,ACTIVE
DHA-F-0046339,AL IMAN MEDICAL CLINIC,ACTIVE
DHA-F-0047452,AL IMAN MEDICAL CLINIC (BRANCH),ACTIVE
DHA-F-0045862,AL IMAN PHARMACY,ACTIVE
DHA-F-0046200,AL IMAN PVT. SCHOOL,ACTIVE
DHA-F-0045849,AL ITTIHAD DRUG STORE,ACTIVE
DHA-F-0047126,AL ITTIHAD PRIVATE SCHOOL- JUMEIRA,ACTIVE
DHA-F-0046109,AL ITTIHAD PVT. SCHOOL CLINIC,ACTIVE
DHA-F-0047269,AL JABER LEGT ENGINEERING &CONTRCTING(ALEC)DUBAI BR,ACTIVE
DHA-F-0046418,AL JABER OPTICAL BRANCH LAMCY,ACTIVE
DHA-F-0046021,AL JABER OPTICAL CENTER - AL JUMEIRAH BRANCH,ACTIVE
DHA-F-0046020,AL JABER OPTICAL CENTER - AL MUSALLA BRANCH,ACTIVE
DHA-F-0046019,AL JABER OPTICAL CENTER - BIN SOUQAT BRANCH,ACTIVE
DHA-F-0047746,AL JABER OPTICAL CENTER-  BR MADINAT JUMEIRAH,ACTIVE
DHA-F-0047357,AL JABER OPTICAL CENTER (BR),ACTIVE
DHA-F-0046912,AL JABER OPTICAL CENTER (FIRST TRAD CENTER BRANCH,ACTIVE
DHA-F-0047251,AL JABER OPTICAL CENTER (L.L.C) (FESTIVAL CITY BR.),ACTIVE
DHA-F-0046639,AL JABER OPTICAL CENTER (L.L.C) EMAR TOWN CENTER,ACTIVE
DHA-F-0046018,AL JABER OPTICAL CENTER L.L.C - CITY CENTER BRANCH,ACTIVE
DHA-F-0047487,AL JABER OPTICAL CENTER L.L.C -OLD TOWN,ACTIVE
DHA-F-0002381,AL JABER OPTICAL CENTER LLC NEW SPRINGS VILLAGE BR,ACTIVE
DHA-F-0046505,AL JABER OPTICAL CENTER- SHEIKH ZAYED ROAD (2),ACTIVE
DHA-F-0047893,AL JABER OPTICAL CENTRE (L.L.C) - BR ETIHAD MALL,ACTIVE
DHA-F-0048002,AL JABER OPTICAL CENTRE (L.L.C) - BR IBN BATUTA,ACTIVE
DHA-F-0046968,AL JABER OPTICAL CENTRE (L.L.C)-BR EMIRATES MALL,ACTIVE
DHA-F-0046218,AL JABER OPTICAL CENTRE AL GHARAIR BRANUH,ACTIVE
DHA-F-0047598,AL JABER OPTICAL CENTRE BR (ARABIAN PLAZA),ACTIVE
DHA-F-0047579,AL JABER OPTICAL CENTRE BR- DUBAI MALL,ACTIVE
DHA-F-0000651,AL JABER OPTICAL CENTRE BRANCH CITY WALK,ACTIVE
DHA-F-9645581,AL JABER OPTICAL CENTRE L.L.C BRANCH,ACTIVE
DHA-F-0430776,AL JABER OPTICAL CENTRE L.L.C BRANCH,ACTIVE
DHA-F-2493001,AL JABER OPTICAL CENTRE L.L.C BRANCH FESTIVAL PLAZA,ACTIVE
DHA-F-6512104,AL JABER OPTICAL CENTRE LLC (BRANCH),ACTIVE
DHA-F-0047610,AL JABER OPTICAL CENTRE LLC BR ARABIAN RANCHES 2,ACTIVE
DHA-F-0001561,AL JABER OPTICAL CENTRE LLC BR MADINAT JUMEIRA,ACTIVE
DHA-F-0047823,AL JABER OPTICAL CENTRE LLC BR(MIRDF CITY CENTRE,ACTIVE
DHA-F-8906267,AL JABER OPTICAL CENTRE LLC BRANCH,ACTIVE
DHA-F-0047733,AL JABER OPTICAL CENTRE LLC BRANCH,ACTIVE
DHA-F-0002360,AL JABER OPTICAL CENTRE LLC BRANCH,ACTIVE
