code,description,type
00561,ANESTH HEART SURG <1 YR,3
00562,ANESTH HRT SURG W/PMP AGE 1+,3
00563,ANESTH HEART SURG W/ARREST,3
00566,ANESTH CABG W/O PUMP,3
00567,ANESTH CABG W/PUMP,3
00580,ANESTH HEART/LUNG TRANSPLNT,3
0058T,CRYOPRESERVATION OVARY TISS,3
00600,ANESTH SPINE CORD SURGERY,3
00604,ANESTH SITTING PROCEDURE,3
00620,ANESTH SPINE CORD SURGERY,3
00625,ANES SPINE TRANTHOR W/O VENT,3
00626,ANES SPINE TRANSTHOR W/VENT,3
00630,ANESTH SPINE CORD SURGERY,3
00632,ANESTH REMOVAL OF NERVES,3
00635,ANESTH LUMBAR PUNCTURE,3
00640,ANESTH SPINE MANIPULATION,3
00670,ANESTH SPINE CORD SURGERY,3
00700,ANESTH ABDOMINAL WALL SURG,3
00702,ANESTH FOR LIVER BIOPSY,3
0071T,US LEIOMYOMATA ABLATE <200,3
0072T,US LEIOMYOMATA ABLATE >200,3
00730,ANESTH ABDOMINAL WALL SURG,3
00731,ANES UPR GI NDSC PX NOS,3
00732,ANES UPR GI NDSC PX ERCP,3
00750,ANESTH REPAIR OF HERNIA,3
00752,ANESTH REPAIR OF HERNIA,3
00754,ANESTH REPAIR OF HERNIA,3
00756,ANESTH REPAIR OF HERNIA,3
0075T,PERQ STENT/CHEST VERT ART,3
0076T,S&I STENT/CHEST VERT ART,3
00770,ANESTH BLOOD VESSEL REPAIR,3
00790,ANESTH SURG UPPER ABDOMEN,3
00792,ANESTH HEMORR/EXCISE LIVER,3
00794,ANESTH PANCREAS REMOVAL,3
00796,ANESTH FOR LIVER TRANSPLANT,3
00797,ANESTH SURGERY FOR OBESITY,3
00800,ANESTH ABDOMINAL WALL SURG,3
00802,ANESTH FAT LAYER REMOVAL,3
00811,ANES LWR INTST NDSC NOS,3
00812,ANES LWR INTST SCR COLSC,3
00813,ANES UPR LWR GI NDSC PX,3
00820,ANESTH ABDOMINAL WALL SURG,3
00830,ANESTH REPAIR OF HERNIA,3
00832,ANESTH REPAIR OF HERNIA,3
00834,ANESTH HERNIA REPAIR < 1 YR,3
00836,ANESTH HERNIA REPAIR PREEMIE,3
00840,ANESTH SURG LOWER ABDOMEN,3
00842,ANESTH AMNIOCENTESIS,3
00844,ANESTH PELVIS SURGERY,3
00846,ANESTH HYSTERECTOMY,3
00848,ANESTH PELVIC ORGAN SURG,3
00851,ANESTH TUBAL LIGATION,3
0085T,BREATH TEST HEART REJECT,3
00860,ANESTH SURGERY OF ABDOMEN,3
00862,ANESTH KIDNEY/URETER SURG,3
00864,ANESTH REMOVAL OF BLADDER,3
00865,ANESTH REMOVAL OF PROSTATE,3
00866,ANESTH REMOVAL OF ADRENAL,3
00868,ANESTH KIDNEY TRANSPLANT,3
00870,ANESTH BLADDER STONE SURG,3
00872,ANESTH KIDNEY STONE DESTRUCT,3
00873,ANESTH KIDNEY STONE DESTRUCT,3
00880,ANESTH ABDOMEN VESSEL SURG,3
00882,ANESTH MAJOR VEIN LIGATION,3
00902,ANESTH ANORECTAL SURGERY,3
00904,ANESTH PERINEAL SURGERY,3
00906,ANESTH REMOVAL OF VULVA,3
00908,ANESTH REMOVAL OF PROSTATE,3
00910,ANESTH BLADDER SURGERY,3
00912,ANESTH BLADDER TUMOR SURG,3
00914,ANESTH REMOVAL OF PROSTATE,3
00916,ANESTH BLEEDING CONTROL,3
00918,ANESTH STONE REMOVAL,3
00920,ANESTH GENITALIA SURGERY,3
00921,ANESTH VASECTOMY,3
00922,ANESTH SPERM DUCT SURGERY,3
00924,ANESTH TESTIS EXPLORATION,3
00926,ANESTH REMOVAL OF TESTIS,3
00928,ANESTH REMOVAL OF TESTIS,3
00930,ANESTH TESTIS SUSPENSION,3
00932,ANESTH AMPUTATION OF PENIS,3
00934,ANESTH PENIS NODES REMOVAL,3
00936,ANESTH PENIS NODES REMOVAL,3
00938,ANESTH INSERT PENIS DEVICE,3
00940,ANESTH VAGINAL PROCEDURES,3
00942,ANESTH SURG ON VAG/URETHRAL,3
00944,ANESTH VAGINAL HYSTERECTOMY,3
00948,ANESTH REPAIR OF CERVIX,3
00950,ANESTH VAGINAL ENDOSCOPY,3
00952,ANESTH HYSTEROSCOPE/GRAPH,3
0095T,RMVL ARTIFIC DISC ADDL CRVCL,3
0098T,REV ARTIFIC DISC ADDL,3
0100T,PROSTH RETINA RECEIVE&GEN,3
0101T,EXTRACORP SHOCKWV TX HI ENRG,3
0102T,EXTRACORP SHOCKWV TX ANESTH,3
0106T,TOUCH QUANT SENSORY TEST,3
0107T,VIBRATE QUANT SENSORY TEST,3
0108T,COOL QUANT SENSORY TEST,3
0109T,HEAT QUANT SENSORY TEST,3
0110T,NOS QUANT SENSORY TEST,3
01112,ANESTH BONE ASPIRATE/BX,3
0111T,RBC MEMBRANES FATTY ACIDS,3
01120,ANESTH PELVIS SURGERY,3
01130,ANESTH BODY CAST PROCEDURE,3
01140,ANESTH AMPUTATION AT PELVIS,3
01150,ANESTH PELVIC TUMOR SURGERY,3
01160,ANESTH PELVIS PROCEDURE,3
01170,ANESTH PELVIS SURGERY,3
01173,ANESTH FX REPAIR PELVIS,3
01200,ANESTH HIP JOINT PROCEDURE,3
01202,ANESTH ARTHROSCOPY OF HIP,3
01210,ANESTH HIP JOINT SURGERY,3
01212,ANESTH HIP DISARTICULATION,3
01214,ANESTH HIP ARTHROPLASTY,3
01215,ANESTH REVISE HIP REPAIR,3
01220,ANESTH PROCEDURE ON FEMUR,3
01230,ANESTH SURGERY OF FEMUR,3
01232,ANESTH AMPUTATION OF FEMUR,3
01234,ANESTH RADICAL FEMUR SURG,3
01250,ANESTH UPPER LEG SURGERY,3
01260,ANESTH UPPER LEG VEINS SURG,3
0126T,CHD RISK IMT STUDY,3
01270,ANESTH THIGH ARTERIES SURG,3
01272,ANESTH FEMORAL ARTERY SURG,3
01274,ANESTH FEMORAL EMBOLECTOMY,3
01320,ANESTH KNEE AREA SURGERY,3
01340,ANESTH KNEE AREA PROCEDURE,3
01360,ANESTH KNEE AREA SURGERY,3
01380,ANESTH KNEE JOINT PROCEDURE,3
01382,ANESTH DX KNEE ARTHROSCOPY,3
01390,ANESTH KNEE AREA PROCEDURE,3
01392,ANESTH KNEE AREA SURGERY,3
01400,ANESTH KNEE JOINT SURGERY,3
01402,ANESTH KNEE ARTHROPLASTY,3
01404,ANESTH AMPUTATION AT KNEE,3
01420,ANESTH KNEE JOINT CASTING,3
01430,ANESTH KNEE VEINS SURGERY,3
01432,ANESTH KNEE VESSEL SURG,3
01440,ANESTH KNEE ARTERIES SURG,3
01442,ANESTH KNEE ARTERY SURG,3
01444,ANESTH KNEE ARTERY REPAIR,3
01462,ANESTH LOWER LEG PROCEDURE,3
01464,ANESTH ANKLE/FT ARTHROSCOPY,3
01470,ANESTH LOWER LEG SURGERY,3
01472,ANESTH ACHILLES TENDON SURG,3
01474,ANESTH LOWER LEG SURGERY,3
01480,ANESTH LOWER LEG BONE SURG,3
01482,ANESTH RADICAL LEG SURGERY,3
01484,ANESTH LOWER LEG REVISION,3
01486,ANESTH ANKLE REPLACEMENT,3
01490,ANESTH LOWER LEG CASTING,3
01500,ANESTH LEG ARTERIES SURG,3
01502,ANESTH LWR LEG EMBOLECTOMY,3
01520,ANESTH LOWER LEG VEIN SURG,3
01522,ANESTH LOWER LEG VEIN SURG,3
0159T,CAD BREAST MRI,3
01610,ANESTH SURGERY OF SHOULDER,3
01620,ANESTH SHOULDER PROCEDURE,3
01622,ANES DX SHOULDER ARTHROSCOPY,3
01630,ANESTH SURGERY OF SHOULDER,3
01634,ANESTH SHOULDER JOINT AMPUT,3
01636,ANESTH FOREQUARTER AMPUT,3
01638,ANESTH SHOULDER REPLACEMENT,3
0163T,LUMB ARTIF DISKECTOMY ADDL,3
0164T,REMOVE LUMB ARTIF DISC ADDL,3
01650,ANESTH SHOULDER ARTERY SURG,3
01652,ANESTH SHOULDER VESSEL SURG,3
01654,ANESTH SHOULDER VESSEL SURG,3
01656,ANESTH ARM-LEG VESSEL SURG,3
0165T,REVISE LUMB ARTIF DISC ADDL,3
01670,ANESTH SHOULDER VEIN SURG,3
01680,ANESTH SHOULDER CASTING,3
01710,ANESTH ELBOW AREA SURGERY,3
01712,ANESTH UPPR ARM TENDON SURG,3
01714,ANESTH UPPR ARM TENDON SURG,3
01716,ANESTH BICEPS TENDON REPAIR,3
01730,ANESTH UPPR ARM PROCEDURE,3
01732,ANESTH DX ELBOW ARTHROSCOPY,3
01740,ANESTH UPPER ARM SURGERY,3
01742,ANESTH HUMERUS SURGERY,3
01744,ANESTH HUMERUS REPAIR,3
0174T,CAD CXR WITH INTERP,3
01756,ANESTH RADICAL HUMERUS SURG,3
01758,ANESTH HUMERAL LESION SURG,3
0175T,CAD CXR REMOTE,3
01760,ANESTH ELBOW REPLACEMENT,3
01770,ANESTH UPPR ARM ARTERY SURG,3
01772,ANESTH UPPR ARM EMBOLECTOMY,3
01780,ANESTH UPPER ARM VEIN SURG,3
01782,ANESTH UPPR ARM VEIN REPAIR,3
01810,ANESTH LOWER ARM SURGERY,3
01820,ANESTH LOWER ARM PROCEDURE,3
01829,ANESTH DX WRIST ARTHROSCOPY,3
01830,ANESTH LOWER ARM SURGERY,3
01832,ANESTH WRIST REPLACEMENT,3
01840,ANESTH LWR ARM ARTERY SURG,3
01842,ANESTH LWR ARM EMBOLECTOMY,3
01844,ANESTH VASCULAR SHUNT SURG,3
0184T,EXC RECTAL TUMOR ENDOSCOPIC,3
01850,ANESTH LOWER ARM VEIN SURG,3
01852,ANESTH LWR ARM VEIN REPAIR,3
01860,ANESTH LOWER ARM CASTING,3
0188T,VIDEOCONF CRIT CARE 74 MIN,3
0189T,VIDEOCONF CRIT CARE ADDL 30,3
0190T,PLACE INTRAOC RADIATION SRC,3
01916,ANESTH DX ARTERIOGRAPHY,3
0191T,INSERT ANT SEGMENT DRAIN INT,3
01920,ANESTH CATHETERIZE HEART,3
01922,ANESTH CAT OR MRI SCAN,3
01924,ANES THER INTERVEN RAD ARTRL,3
01925,ANES THER INTERVEN RAD CARD,3
01926,ANES TX INTERV RAD HRT/CRAN,3
01930,ANES THER INTERVEN RAD VEIN,3
01931,ANES THER INTERVEN RAD TIPS,3
01932,ANES TX INTERV RAD TH VEIN,3
01933,ANES TX INTERV RAD CRAN VEIN,3
01935,ANESTH PERC IMG DX SP PROC,3
01936,ANESTH PERC IMG TX SP PROC,3
01951,ANESTH BURN LESS 4 PERCENT,3
01952,ANESTH BURN 4-9 PERCENT,3
01953,ANESTH BURN EACH 9 PERCENT,3
01958,ANESTH ANTEPARTUM MANIPUL,3
0195T,PRESCRL FUSE W/O INSTR L5/S1,3
01960,ANESTH VAGINAL DELIVERY,3
01961,ANESTH CS DELIVERY,3
01962,ANESTH EMER HYSTERECTOMY,3
01963,ANESTH CS HYSTERECTOMY,3
01965,ANESTH INC/MISSED AB PROC,3
01966,ANESTH INDUCED AB PROCEDURE,3
01967,ANESTH/ANALG VAG DELIVERY,3
01968,ANES/ANALG CS DELIVER ADD-ON,3
01969,ANESTH/ANALG CS HYST ADD-ON,3
0196T,PRESCRL FUSE W/O INSTR L4/L5,3
0198T,OCULAR BLOOD FLOW MEASURE,3
01990,SUPPORT FOR ORGAN DONOR,3
01991,ANESTH NERVE BLOCK/INJ,3
01992,ANESTH N BLOCK/INJ PRONE,3
01996,HOSP MANAGE CONT DRUG ADMIN,3
01999,UNLISTED ANESTH PROCEDURE,3
0200T,PERQ SACRAL AUGMT UNILAT INJ,3
0201T,PERQ SACRAL AUGMT BILAT INJ,3
0202T,POST VERT ARTHRPLST 1 LUMBAR,3
0205T,INIRS EACH VESSEL ADD-ON,3
0206T,CPTR DBS ALYS CAR ELEC DTA,3
0207T,CLEAR EYELID GLAND W/HEAT,3
0208T,AUDIOMETRY AIR ONLY,3
0209T,AUDIOMETRY AIR & BONE,3
0210T,SPEECH AUDIOMETRY THRESHOLD,3
0211T,SPEECH AUDIOM THRESH & RECOG,3
0212T,COMPRE AUDIOMETRY EVALUATION,3
0213T,NJX PARAVERT W/US CER/THOR,3
0214T,NJX PARAVERT W/US CER/THOR,3
0215T,NJX PARAVERT W/US CER/THOR,3
0216T,NJX PARAVERT W/US LUMB/SAC,3
0217T,NJX PARAVERT W/US LUMB/SAC,3
0218T,NJX PARAVERT W/US LUMB/SAC,3
0219T,PLMT POST FACET IMPLT CERV,3
0220T,PLMT POST FACET IMPLT THOR,3
0221T,PLMT POST FACET IMPLT LUMB,3
0222T,PLMT POST FACET IMPLT ADDL,3
0228T,NJX TFRML EPRL W/US CER/THOR,3
0229T,NJX TFRML EPRL W/US CER/THOR,3
0230T,NJX TFRML EPRL W/US LUMB/SAC,3
0231T,NJX TFRML EPRL W/US LUMB/SAC,3
0232T,NJX PLATELET PLASMA,3
0234T,TRLUML PERIP ATHRC RENAL ART,3
0235T,TRLUML PERIP ATHRC VISCERAL,3
0236T,TRLUML PERIP ATHRC ABD AORTA,3
0237T,TRLUML PERIP ATHRC BRCHIOCPH,3
0238T,TRLUML PERIP ATHRC ILIAC ART,3
0249T,LIGATION HEMORRHOID W/US,3
0253T,INSERT AQUEOUS DRAIN DEVICE,3
0254T,EVASC RPR ILIAC ART BIFUR,3
0263T,IM B1 MRW CEL THER CMPL,3
0264T,IM B1 MRW CEL THER XCL HRVST,3
0265T,IM B1 MRW CEL THER HRVST ONL,3
0266T,IMPLT/RPL CRTD SNS DEV TOTAL,3
0267T,IMPLT/RPL CRTD SNS DEV LEAD,3
0268T,IMPLT/RPL CRTD SNS DEV GEN,3
0269T,REV/REMVL CRTD SNS DEV TOTAL,3
0270T,REV/REMVL CRTD SNS DEV LEAD,3
0271T,REV/REMVL CRTD SNS DEV GEN,3
0272T,INTERROGATE CRTD SNS DEV,3
0273T,INTERROGATE CRTD SNS W/PGRMG,3
0274T,PERQ LAMOT/LAM CRV/THRC,3
0275T,PERQ LAMOT/LAM LUMBAR,3
0278T,TEMPR,3
0290T,LASER INC FOR PKP/LKP RECIP,3
0295T,EXT ECG COMPLETE,3
0296T,EXT ECG RECORDING,3
0297T,EXT ECG SCAN W/REPORT,3
0298T,EXT ECG REVIEW AND INTERP,3
0308T,INSJ OCULAR TELESCOPE PROSTH,3
0312T,LAPS IMPLTJ NSTIM VAGUS,3
0313T,LAPS RMVL NSTIM ARRAY VAGUS,3
0314T,LAPS RMVL VGL ARRY&PLS GEN,3
0315T,RMVL VAGUS NERVE PLS GEN,3
0316T,REPLC VAGUS NERVE PLS GEN,3
0317T,ELEC ALYS VAGUS NRV PLS GEN,3
0329T,MNTR IO PRESS 24HRS/> UNI/BI,3
0330T,TEAR FILM IMG UNI/BI W/I&R,3
0331T,HEART SYMP IMAGE PLNR,3
0332T,HEART SYMP IMAGE PLNR SPECT,3
0333T,VISUAL EP ACUITY SCREEN AUTO,3
0335T,EXTRAOSSEOUS JOINT STBLZTION,3
0337T,ENDOTHEL FXNASSMNT NON-INVAS,3
0338T,TRNSCTH RENAL SYMP DENRV UNL,3
0339T,TRNSCTH RENAL SYMP DENRV BIL,3
0341T,QUANT PUPILLOMETRY W/RPRT,3
0342T,THXP APHERESIS W/HDL DELIP,3
0345T,TRANSCATH MTRAL VLVE REPAIR,3
0346T,ULTRASOUND ELASTOGRAPHY,3
0347T,INS BONE DEVICE FOR RSA,3
0348T,RSA SPINE EXAM,3
0349T,RSA UPPER EXTR EXAM,3
0350T,RSA LOWER EXTR EXAM,3
0351T,INTRAOP OCT BRST/NODE SPEC,3
0352T,OCT BRST/NODE I&R PER SPEC,3
0353T,INTRAOP OCT BREAST CAVITY,3
0354T,OCT BREAST SURG CAVITY I&R,3
0355T,GI TRACT CAPSULE ENDOSCOPY,3
0356T,INSRT DRUG DEVICE FOR IOP,3
0357T,CRYOPRESERVATION OOCYTE(S),3
0358T,BIA WHOLE BODY,3
0359T,BEHAVIORAL ID ASSESSMENT,3
0360T,OBSERV BEHAV ASSESSMENT,3
0361T,OBSERV BEHAV ASSESS ADDL,3
0362T,EXPOSE BEHAV ASSESSMENT,3
0363T,EXPOSE BEHAV ASSESS ADDL,3
0364T,ADAPTIVE BEHAVIOR TREATMENT,3
0365T,ADAPTIVE BEHAVIOR TX ADDL,3
0366T,GROUP BEHAVIOR TREATMENT,3
0367T,GROUP BEHAV TREATMENT ADDL,3
0368T,BEHAVIOR TREATMENT MODIFIED,3
0369T,BEHAV TREATMENT MODIFY ADDL,3
0370T,FAM BEHAV TREATMENT GUIDANCE,3
0371T,MULT FAM BEHAV TREAT GUIDE,3
0372T,SOCIAL SKILLS TRAINING GROUP,3
0373T,EXPOSURE BEHAVIOR TREATMENT,3
0374T,EXPOSE BEHAV TREATMENT ADDL,3
0375T,TOTAL DISC ARTHRP ANT APPR,3
0376T,INSERT ANT SEGMENT DRAIN INT,3
0377T,ANOSCPY INJ AGENT FOR INCONT,3
0378T,VISUAL FIELD ASSMNT REV/RPRT,3
0379T,VIS FIELD ASSMNT TECH SUPPT,3
0380T,COMP ANIMAT RET IMAG SERIES,3
0381T,EXT H RATE EPI SZ 14 DAYS,3
0382T,EXT H RATE SZ 14 DAY RI ONLY,3
0383T,EXT H RATE SZ 15-30 DAYS,3
0384T,EX H RATE SZ 15-30 DAY RI,3
0385T,EX H RATE FOR SZ OVR 30 DAY,3
0386T,EX H RATE SZ 30+ DAY RI ONLY,3
0387T,LEADLESS PM INS/RPL VENTR,3
0388T,LEADLESS PM REMOVE VENTR,3
0389T,PROG EVAL INPER LEADLS PM,3
0390T,PERIPROC EVAL INPER LEDLS PM,3
0391T,INTERGT EVAL INPER LEADLS PM,3
0394T,HDR ELCTRNC SKN SURF BRCHYTX,3
0395T,HDR ELCTR NTRST/NTRCV BRCHTX,3
0396T,INTRAOP KINETIC BALNCE SENSR,3
0397T,ERCP W/OPTICAL ENDOMICROSCPY,3
0398T,MRGFUS STRTCTC LES ABLTJ,3
0399T,MYOCARDIAL STRAIN IMAGING,3
0400T,MLTISPECTRL DIGITAL LES ALYS,3
0401T,MLTISPECTRL DIGITAL LES ALYS,3
0402T,COLLAGEN CROSSLINKING CORNEA,3
0403T,DIABETES PREV STANDARD CURR,3
0404T,TRNSCRV UTERIN FIBROID ABLTJ,3
0405T,OVRSGHT XTRCORP LIV ASST PAT,3
0406T,SIN NDSC PLMT DRG ELUT MPLNT,3
0407T,SIN NDSC PLMT DRG ELUT MPLNT,3
0408T,INSJ/RPLC CARDIAC MODULJ SYS,3
0409T,INSJ/RPLC CAR MODULJ PLS GN,3
0410T,INSJ/RPLC CAR MODULJ ATR ELT,3
0411T,INSJ/RPLC CAR MODULJ VNT ELT,3
0412T,RMVL CARDIAC MODULJ PLS GEN,3
0413T,RMVL CAR MODULJ TRANVNS ELT,3
0414T,RMVL & RPL CAR MODULJ PLS GN,3
0415T,REPOS CAR MODULJ TRANVNS ELT,3
0416T,RELOC SKIN POCKET PLS GEN,3
0417T,PRGRMG EVAL CARDIAC MODULJ,3
0418T,INTERRO EVAL CARDIAC MODULJ,3
0419T,DSTRJ NEUROFIBROMA XTNSV,3
0420T,DSTRJ NEUROFIBROMA XTNSV,3
0421T,WATERJET PROSTATE ABLTJ CMPL,3
0422T,TACTILE BREAST IMG UNI/BI,3
0423T,ASSAY SECRETORY TYPE II PLA2,3
0424T,INSJ/RPLC NSTIM APNEA COMPL,3
0425T,INSJ/RPLC NSTIM APNEA SEN LD,3
0426T,INSJ/RPLC NSTIM APNEA STM LD,3
0427T,INSJ/RPLC NSTIM APNEA PLS GN,3
0428T,RMVL NSTIM APNEA PLS GEN,3
0429T,RMVL NSTIM APNEA SEN LD,3
0430T,RMVL NSTIM APNEA STIMJ LD,3
0431T,RMVL/RPLC NSTIM APNEA PLS GN,3
0432T,REPOS NSTIM APNEA STIMJ LD,3
0433T,REPOS NSTIM APNEA SENSING LD,3
0434T,INTERRO EVAL NPGS APNEA,3
0435T,PRGRMG EVAL NPGS APNEA 1 SES,3
0436T,PRGRMG EVAL NPGS APNEA STUDY,3
0437T,IMPLTJ SYNTH RNFCMT ABDL WAL,3
0439T,MYOCRD CONTRAST PRFUJ ECHO,3
0440T,ABLTJ PERC UXTR/PERPH NRV,3
0441T,ABLTJ PERC LXTR/PERPH NRV,3
0442T,ABLTJ PERC PLEX/TRNCL NRV,3
0443T,R-T SPCTRL ALYS PRST8 TISS,3
0444T,1ST PLMT DRUG ELUT OC INS,3
0445T,SBSQT PLMT DRUG ELUT OC INS,3
0446T,INSJ IMPLTBL GLUCOSE SENSOR,3
0447T,RMVL IMPLTBL GLUCOSE SENSOR,3
0448T,REMVL INSJ IMPLTBL GLUC SENS,3
0449T,INSJ AQUEOUS DRAIN DEV 1ST,3
0450T,INSJ AQUEOUS DRAIN DEV EACH,3
0451T,INSJ/RPLCMT AORTIC VENTR SYS,3
0452T,INSJ/RPLCMT DEV VASC SEAL,3
0453T,INSJ/RPLCMT MECH-ELEC NTRFCE,3
0454T,INSJ/RPLCMT SUBQ ELECTRODE,3
0455T,REMVL AORTIC VENTR CMPL SYS,3
0456T,REMVL AORTIC DEV VASC SEAL,3
0457T,REMVL MECH-ELEC SKIN NTRFCE,3
0458T,REMVL SUBQ ELECTRODE,3
0459T,RELOCAJ RPLCMT AORTIC VENTR,3
0460T,REPOS AORTIC VENTR DEV ELTRD,3
0461T,REPOS AORTIC CONTRPULSJ DEV,3
0462T,PRGRMG EVAL AORTIC VENTR SYS,3
0463T,INTERROG AORTIC VENTR SYS,3
0464T,VISUAL EP TEST FOR GLAUCOMA,3
0465T,SUPCHRDL NJX RX W/O SUPPLY,3
0466T,INSJ CH WAL RESPIR ELTRD/RA,3
0467T,REVJ/RPLMNT CH RESPIR ELTRD,3
0468T,RMVL CH WAL RESPIR ELTRD/RA,3
0469T,RTA POLARIZE SCAN OC SCR BI,3
0470T,OCT SKN IMG ACQUISJ I&R 1ST,3
0471T,OCT SKN IMG ACQUISJ I&R ADDL,3
0472T,PRGRMG IO RTA ELTRD RA,3
0473T,REPRGRMG IO RTA ELTRD RA,3
0474T,INSJ AQUEOUS DRG DEV IO RSVR,3
0475T,REC FTL CAR SGL 3 CH I&R,3
0476T,REC FTL CAR SGL ELEC TR DATA,3
0477T,REC FTL CAR SGL XRTJ ALYS,3
0478T,REC FTL CAR 3 CH REV I&R,3
0479T,FXJL ABL LSR 1ST 100 SQ CM,3
0480T,FXJL ABL LSR EA ADDL 100SQCM,3
0481T,NJX AUTOL WBC CONCENTRATE,3
0482T,ABSL QUAN MYOCRD BLD FLO PET,3
0483T,TMVI PERCUTANEOUS APPROACH,3
0484T,TMVI TRANSTHORACIC EXPOSURE,3
0485T,OCT MID EAR I&R UNILATERAL,3
0486T,OCT MID EAR I&R BILATERAL,3
0487T,TRVG BIOMCHN MAPG W/REPRT,3
0488T,DIABETES PREV ONLINE/ELEC,3
0489T,REGN CELL TX SCLDR HANDS,3
0490T,REGN CELL TX SCLDR H MLT INJ,3
0491T,ABL LSR OPN WND 1ST 20 SQCM,3
0492T,ABL LSR OPN WND ADDL 20 SQCM,3
0493T,NEAR IFR SPECTRSC OF WOUNDS,3
0494T,PREP & CANNULJ CDVR DON LUNG,3
0495T,MNTR CDVR DON LNG 1ST 2 HRS,3
0496T,MNTR CDVR DON LNG EA ADDL HR,3
0497T,XTRNL PT ACT ECG IN-OFF CONN,3
0498T,XTRNL PT ACT ECG R&I PR 30 D,3
0499T,CYSTO F/URTL STRIX/STENOSIS,3
0500F,INITIAL PRENATAL CARE VISIT,3
0500T,HPV 5+ HI RISK HPV TYPES,3
0501F,PRENATAL FLOW SHEET,3
0501T,COR FFR DERIVED COR CTA DATA,3
0502F,SUBSEQUENT PRENATAL CARE,3
0502T,COR FFR DATA PREP & TRANSMIS,3
0503F,POSTPARTUM CARE VISIT,3
0503T,COR FFR ALYS GNRJ FFR MDL,3
0504T,COR FFR DATA REVIEW I&R,3
0505F,HEMODIALYSIS PLAN DOCD,3
0507F,PERITON DIALYSIS PLAN DOCD,3
0509F,URINE INCON PLAN DOCD,3
0513F,ELEV BP PLAN OF CARE DOCD,3
0514F,CARE PLAN HGB DOCD ESA PT,3
0516F,ANEMIA PLAN OF CARE DOCD,3
0517F,GLAUCOMA PLAN OF CARE DOCD,3
