facility_code,name,city,country,status
DHA-F-0000738,"ACCESS CLINIC INTERNATIONAL CITY BR OF DH HEALTHCA",Dubai,UAE,ACTIVE
DHA-F-0001089,"ACCESS CLINIC PERSIA CLUSTER BR OF DM HEALTHCARE",Dubai,UAE,ACTIVE
DHA-F-0001136,"ACCESS CLINIC SONAPUR 2 BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0000491,"ACCESS CLINIC SONAPUR BR OF DM HEALTHCARE LLC",Dubai,UAE,ACTIVE
DHA-F-0001029,"ACCESS PHARMACY 2 BR OF ASTER PHARMACIES GROUP LLC",Dubai,UAE,ACTIVE
DHA-F-0001276,"ACCESS PHARMACY 3 BR OF ASTER PHARMACIES GROUP LLC",Dubai,UAE,ACTIVE
DHA-F-0000994,"ACCESS PHARMACY BR OF ASTER PHARMACIES GROUP LLC",Dubai,UAE,ACTIVE
DHA-F-0045618,"ACHIRA CLINICS",Dubai,UAE,ACTIVE
DHA-F-0047229,"ACICO INTERNATIONAL CONTRACTING(L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0046853,"ACTIVE PLUS",Dubai,UAE,ACTIVE
DHA-F-0001324,"ACU HOUSE L.L.C",Dubai,UAE,ACTIVE
DHA-F-0046112,"ADAB IRANIAN PVT. SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0046658,"ADAM MEDICAL CENTRE L.L.C",Dubai,UAE,ACTIVE
DHA-F-0000221,"ADAM VITAL",Dubai,UAE,ACTIVE
DHA-F-0002370,"ADAM VITAL ORTUS HOSPITAL LLC",Dubai,UAE,ACTIVE
DHA-F-0002454,"ADAM VITAL ORTUS HOSPITAL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-3632768,"ADAMS PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-8861732 ,"ADAMS PHARMACY LLC (BRANCH)",Dubai,UAE,ACTIVE
DHA-F-3594829,"ADAPTIVE CHOICE FZ LLC ",Dubai,UAE,ACTIVE
DHA-F-8542512,"ADRIA MEDICAL CENTER LLC",Dubai,UAE,ACTIVE
DHA-F-0046750,"ADVANCE BIOTECHNOLOGY CENTER",Dubai,UAE,ACTIVE
DHA-F-3648598,"ADVANCE CARE PROSTHETICS AND ORTHOTICS CENTER",Dubai,UAE,ACTIVE
DHA-F-0047307,"ADVANCE HEARING AND BALANCE CENTER",Dubai,UAE,ACTIVE
DHA-F-8554808,"ADVANCED BEHAVIORAL LEARNING ENVIRONMENT FZ-LLC",Dubai,UAE,ACTIVE
DHA-F-0047388,"ADVANCED CARE MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-5626518,"ADVANCED CARE MEDICAL CENTER - (BRANCH)",Dubai,UAE,ACTIVE
DHA-F-0002329,"ADVANCED CARE MEDICAL CENTER - BRANCH",Dubai,UAE,ACTIVE
DHA-F-0002260,"ADVANCED CARE MEDICAL CENTER BRANCH",Dubai,UAE,ACTIVE
DHA-F-0000564,"ADVANCED CARE MEDICAL CENTER BRANCH",Dubai,UAE,ACTIVE
DHA-F-0115116,"ADVANCED CARE MEDICAL CENTER L.L.C (BRANCH)",Dubai,UAE,ACTIVE
DHA-F-3635685,"ADVANCED CARE MEDICAL CENTER L.L.C BRANCH ALQUSAIS",Dubai,UAE,ACTIVE
DHA-F-5058752,"ADVANCED CARE MEDICAL CENTER LLC BRANCH DIP",Dubai,UAE,ACTIVE
DHA-F-0002067,"ADVANCED CARE ONCOLOGY CENTER LLC",Dubai,UAE,ACTIVE
DHA-F-0047413,"ADVANCED CARE PHARMACY (L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0000348,"ADVANCED CARE PLUS PHARMACY LLC ",Dubai,UAE,ACTIVE
DHA-F-0046815,"ADVANCED DIAGNOSTIC CENTER",Dubai,UAE,ACTIVE
DHA-F-0001874,"ADVANCED DIAGNOSTIC CENTER LLC",Dubai,UAE,ACTIVE
DHA-F-0000640,"ADVANCED ORTHOSPINE HEALTH CENTER",Dubai,UAE,ACTIVE
DHA-F-0047275,"ADVANCED PLASTIC SURGERY CENTER",Dubai,UAE,ACTIVE
DHA-F-0047079,"ADVANCED RADIOLOGY CENTRE AND CLINICAL LABORATORY",Dubai,UAE,ACTIVE
DHA-F-0000353,"ADVANCED RADIOLOGY CENTRE CLINICAL LABORATORY BR",Dubai,UAE,ACTIVE
DHA-F-0000321,"ADVANCED SPECIALIST MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046794,"ADVANCED SPECIALTY CLINICS",Dubai,UAE,ACTIVE
DHA-F-0000554,"ADVANCED STAR PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-0046555,"AESTHETIC CARE CENTER",Dubai,UAE,ACTIVE
DHA-F-0046578,"AESTHETIC CARE CENTER - BRANCH",Dubai,UAE,ACTIVE
DHA-F-0046447,"AESTHETICA CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046959,"AESTHETICA CLINIC (BRANCH - HUMAR AIN CENTER)",Dubai,UAE,ACTIVE
DHA-F-0000186,"AESTHETICON JLT",Dubai,UAE,ACTIVE
DHA-F-0047639,"AESTHETICS INTERNATIONAL PLASTIC SURGERY CLINIC",Dubai,UAE,ACTIVE
DHA-F-0001212,"AFAK MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-4171456,"AFIYA HOME HEALTH CARE",Dubai,UAE,ACTIVE
DHA-F-9839500,"AFRIDI MEDICAL CENTER L.L.C",Dubai,UAE,ACTIVE
DHA-F-7048200,"AFRIDI PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-8391688,"AGE MEDICAL CENTER L.L.C",Dubai,UAE,ACTIVE
DHA-F-3650734,"AGIOMIX FZ LLC",Dubai,UAE,ACTIVE
DHA-F-0083931,"AHB HEALTH CARE PHARMACY L.L.C",Dubai,UAE,ACTIVE
DHA-F-0000674,"AHD MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0045946,"AHLAM PHARMACY",Dubai,UAE,ACTIVE
DHA-F-7259326,"AHLAN CARE PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000038,"AHMAD HASSAN MOHD YOUSUF ALJABER",Dubai,UAE,ACTIVE
DHA-F-0000065,"AHMAD MURTADA YAQOOB BURHAN ALHASHMI",Dubai,UAE,ACTIVE
DHA-F-0047829,"AHMED A. HUSSAIN",Dubai,UAE,ACTIVE
DHA-F-0047659,"AHMED KHALFAN KHARBASH",Dubai,UAE,ACTIVE
DHA-F-0046104,"AHUD PVT. SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0000972,"AIG MEDICAL CLINICS LLC",Dubai,UAE,ACTIVE
DHA-F-5145430,"AIN RAMADI PHYSIOTHERAPY AND REHABILITATION MEDICAL CENTER L.L.C",Dubai,UAE,ACTIVE
DHA-F-0001683,"AIRIS IMAGING AND DIAGNOSTIC CENTRE LLC",Dubai,UAE,ACTIVE
DHA-F-000APMC,"AIRPORT MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046754,"AIRPORT PHARMACY",Dubai,UAE,ACTIVE
DHA-F-1130475,"AIWA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047726,"AJ PHYSIOTHERAPY CENTER",Dubai,UAE,ACTIVE
DHA-F-0046337,"AJMAL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000655,"AKEELA DENTAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046482,"AL ABBAR LAB FOR RES & MED ANALYSIS",Dubai,UAE,ACTIVE
DHA-F-0045430,"AL ABEDIN DENTAL TECHNICIAN",Dubai,UAE,ACTIVE
DHA-F-0047641,"AL ABEER POLY CLINIC",Dubai,UAE,ACTIVE
DHA-F-0045473,"AL ABRAH CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046009,"AL ADASAT CENTER - AL JUMEIRAH BRANCH",Dubai,UAE,ACTIVE
DHA-F-0048038,"AL AFDHAL PHARMACY 1",Dubai,UAE,ACTIVE
DHA-F-0045476,"AL AFIA MEDICAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0045839,"AL AFIA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045916,"AL AHALI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046364,"AL AHALIA MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046384,"AL AHALIA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047362,"AL AHLI CLUB",Dubai,UAE,ACTIVE
DHA-F-0047345,"AL AHLI DRIVING CENTER",Dubai,UAE,ACTIVE
DHA-F-0047619,"AL AHMADIAH AKTOR (LLC)",Dubai,UAE,ACTIVE
DHA-F-0045890,"AL AHRAM PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045611,"AL ALIAA POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0001838,"AL ALIAA POLYCLINIC LLC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0046329,"AL AMAL OPTICAL",Dubai,UAE,ACTIVE
DHA-F-0046062,"AL AMAL OPTICALS (L.L.C) BR 2",Dubai,UAE,ACTIVE
DHA-F-0046925,"AL AMAL OPTICALS (L.L.C)- BRANCH 1",Dubai,UAE,ACTIVE
DHA-F-0045833,"AL AMAL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045654,"AL AMAL POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0045683,"AL AMAN DENTAL LABORATORY",Dubai,UAE,ACTIVE
DHA-F-0046856,"AL AMAN MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0045745,"AL AMANA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045939,"AL AMEEN PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0001969,"AL AMEEN PHARMACY LLC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0046098,"AL AMEEN PVT. SCHOOL",Dubai,UAE,ACTIVE
DHA-F-4730554,"AL AMIN OPTICAL LLC DUBAI BRANCH",Dubai,UAE,ACTIVE
DHA-F-0040034,"AL AMIN OPTICALS LLC",Dubai,UAE,ACTIVE
DHA-F-6055736,"AL AMIN OPTICALS LLC - DUBAI BRANCH",Dubai,UAE,ACTIVE
DHA-F-3422089,"AL AMIN OPTICALS LLC DUBAI",Dubai,UAE,ACTIVE
DHA-F-9954258,"AL AMIN OPTICALS LLC DUBAI BRANCH",Dubai,UAE,ACTIVE
DHA-F-7454744,"AL AMIN OPTICALS LLC DUBAI BRANCH",Dubai,UAE,ACTIVE
DHA-F-4311867,"AL AMIN OPTICALS LLC DUBAI BRANCH",Dubai,UAE,ACTIVE
DHA-F-0047933,"AL AMIN UNITED DRUG STORE",Dubai,UAE,ACTIVE
DHA-F-0045834,"AL ANBER PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046115,"AL ANWAR PVT. SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0046884,"AL ARIF CONTRACTING CO (L.L.C) CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046139,"AL ARQAM PVT. SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0045744,"AL ASHEERA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045979,"AL ASRIYA OPTICAL EST",Dubai,UAE,ACTIVE
DHA-F-0045951,"AL ASRIYAH PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000054,"AL ATTIYAH PSYCHIATRY CLINIC",Dubai,UAE,ACTIVE
DHA-F-0045600,"AL AWEER MEDICAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0047435,"AL AWEER PRIME CORP MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046629,"AL AWEER SOCIETY PHARMACY (BR OF AL SHAFAR GROUP)",Dubai,UAE,ACTIVE
DHA-F-0048021,"AL AZHAR AL JADEEDA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047440,"AL AZHAR CLINIC",Dubai,UAE,ACTIVE
DHA-F-0048014,"AL AZHAR CLINIC -BRANCH",Dubai,UAE,ACTIVE
DHA-F-0000444,"AL AZHAR CLINIC- BRANCH 2",Dubai,UAE,ACTIVE
DHA-F-0002443,"AL AZHAR CLINIC BRANCH 3",Dubai,UAE,ACTIVE
DHA-F-9579987,"AL AZHAR CLINIC LLC 4",Dubai,UAE,ACTIVE
DHA-F-0047441,"AL AZHAR PHARMACY",Dubai,UAE,ACTIVE
DHA-F-00000SC,"AL BADAE HEALTH CENTRE",Dubai,UAE,ACTIVE
DHA-F-0000977,"AL BADIYA DENTAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046331,"AL BAIRONI POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0045959,"AL BAIROONI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045832,"AL BAKER PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047236,"AL BAKR HOME NURSERY",Dubai,UAE,ACTIVE
DHA-F-0045935,"AL BANNAI PHARMA",Dubai,UAE,ACTIVE
BARAHA001,"AL BARAHA HOSPITAL",Dubai,UAE,ACTIVE
DHA-F-0045858,"AL BARAHA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045869,"AL BARAKA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047450,"AL BARAKAT INTERNATIONAL UNITED GROUP",Dubai,UAE,ACTIVE
DHA-F-0001077,"AL BARSHA ALNOOR POLYCLINIC LLC",Dubai,UAE,ACTIVE
DHA-F-2553296,"AL BARSHA ALNOOR POLYCLINIC PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046649,"AL BARSHA CLINIC",Dubai,UAE,ACTIVE
DHA-F-0047922,"AL BARSHA THERAPY CENTER",Dubai,UAE,ACTIVE
DHA-F-0047668,"AL BASATEEN PRIVATE NURSERY -HATTA BRANCH",Dubai,UAE,ACTIVE
DHA-F-0045737,"AL BASHAIR PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047108,"AL BASIM BUILDING CONTRACTING",Dubai,UAE,ACTIVE
DHA-F-0045508,"AL BAYAN MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046248,"AL BAYAN OPTICAL",Dubai,UAE,ACTIVE
DHA-F-0045978,"AL BAYROONI OPTICS",Dubai,UAE,ACTIVE
DHA-F-0045835,"AL BEITAWI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047881,"AL BERWAZ BEAUTY CENTRE",Dubai,UAE,ACTIVE
DHA-F-0047183,"AL BERWAZ BEAUTY CENTRE (BR)",Dubai,UAE,ACTIVE
DHA-F-0047737,"AL BIRAA ARTHRITIS & BONE CLINIC",Dubai,UAE,ACTIVE
DHA-F-4276188,"AL BIRUNI HOME HEALTH CARE",Dubai,UAE,ACTIVE
DHA-F-7782729,"AL BOOM MARINE LLC",Dubai,UAE,ACTIVE
DHA-F-0046395,"AL BORJ LABORATORY",Dubai,UAE,ACTIVE
DHA-F-0045515,"AL BORJ MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-3759411,"AL BURAQ PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-1928141,"AL BURAQ PHARMACY LLC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0046757,"AL BURJ NEW PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045831,"AL BUSTAN PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046316,"AL BUSTAN ROTANA HOTEL",Dubai,UAE,ACTIVE
DHA-F-0045866,"AL CORNICHE PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0002436,"AL DALEEL PHYSIOTHERAPY AND HIJJAMA CENTER",Dubai,UAE,ACTIVE
DHA-F-0045616,"AL DANA MEDICAL POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0000419,"AL DAS MEDICAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-6456618,"AL DAS MEDICAL CLINIC (BRANCH)",Dubai,UAE,ACTIVE
DHA-F-2116734,"AL DAS MEDICAL CLINIC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0046828,"AL DAYA POLYCLINIC",Dubai,UAE,ACTIVE
DHA-F-0046679,"AL DEHYAFA SPECIALIZED ORTHODONTIC & DENTAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0002133,"AL DEHYAFA SPECIALIZED ORTHODONTICS AND DENTAL CLINIC BRANCH",Dubai,UAE,ACTIVE
DHA-F-0047874,"AL DEQQA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045642,"AL DHAFRA MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046938,"AL DIYAFA MEDICAL DIAGNOSTIC CENTER",Dubai,UAE,ACTIVE
DHA-F-0045516,"AL DIYAFA MODERN MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0046121,"AL DIYAFA NURSERY",Dubai,UAE,ACTIVE
DHA-F-0045838,"AL DIYAFA PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046113,"AL DIYAFAH HIGH SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0000672,"AL EBTISAMA AL SAHERA DENTAL CLINIC L L C",Dubai,UAE,ACTIVE
DHA-F-0046358,"AL EHSAN PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0001015,"AL ENAYA AL FAIQA PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-0047904,"AL ETIHAD DIAGNOSTIC CENTER",Dubai,UAE,ACTIVE
DHA-F-0045405,"AL FAHIM CLINIC",Dubai,UAE,ACTIVE
DHA-F-0045417,"AL FAHIM MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0045953,"AL FAISAL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0047475,"AL FAJER INTERNATIONAL MEDICAL EMERGENCY SERVICES(L.L.C)",Dubai,UAE,ACTIVE
DHA-F-0045954,"AL FAJER PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045583,"AL FALAH MEDICAL CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046205,"AL FALAH OPTICAL",Dubai,UAE,ACTIVE
DHA-F-0046397,"AL FALAH OPTICALS - AL LULU CENTER",Dubai,UAE,ACTIVE
DHA-F-8040487,"AL FALAH OPTICS L.L.C (BRANCH)",Dubai,UAE,ACTIVE
DHA-F-0002540,"AL FALAH OPTICS LLC",Dubai,UAE,ACTIVE
DHA-F-0045940,"AL FALAH PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046119,"AL FALAH PVT. MODERN SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0045913,"AL FALASI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045937,"AL FANAR PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000111,"AL FARAH PHARMACY LLC",Dubai,UAE,ACTIVE
DHA-F-0045841,"AL FARAHIDI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046485,"AL FARES PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046120,"AL FAROOQ PAKISTANI ISLAMIC SCHOOL",Dubai,UAE,ACTIVE
DHA-F-0045640,"AL FATHIMA MEDICAL CENTER",Dubai,UAE,ACTIVE
DHA-F-0047784,"AL FATHIMA MEDICAL CENTER (BR) ALMUHAISNAH",Dubai,UAE,ACTIVE
DHA-F-0047785,"AL FATHIMA MEDICAL CENTER (BR) DIP",Dubai,UAE,ACTIVE
DHA-F-0045840,"AL FEHAIDI PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0046812,"AL FIDA MEDICAL CENTRE",Dubai,UAE,ACTIVE
DHA-F-8324717,"AL FIDA OPTICALS DWC LLC",Dubai,UAE,ACTIVE
DHA-F-0047597,"AL FIRDOS PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0396749,"AL FUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC -COMPANY CLINIC",Dubai,UAE,ACTIVE
DHA-F-5159856,"AL FUTTAIM REAL ESTATE LLC - COMPANY CLINIC",Dubai,UAE,ACTIVE
DHA-F-0046101,"AL FUTTAIM TARMAC CO.",Dubai,UAE,ACTIVE
DHA-F-0047840,"AL GARHOOD PRIVATE HOSPITAL L.LC",Dubai,UAE,ACTIVE
DHA-F-0000548,"AL GARHOUD HOSPITAL PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0045873,"AL GARHOUD PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0002076,"AL GARHOUD PRIVATE HOSPITAL CLINIC SHOROOQ",Dubai,UAE,ACTIVE
DHA-F-0047757,"AL GHAZAL CENTRE PHARMACY",Dubai,UAE,ACTIVE
DHA-F-0000585,"AL GHUBAIBA PHARMACY ",Dubai,UAE,ACTIVE
DHA-F-0045843,"AL GHUSAIS PHARMACY",Dubai,UAE,ACTIVE
DHA-F-3380588,"AL HABAB GENERAL CLINIC",Dubai,UAE,ACTIVE
